transaction_id,date,amount,signed_amount,type,account_id,merchant,category,transaction_flag
TXN0044,08-02-2024,78716,-78716,DEBIT,ACC177,Walmart,Food,High Value
TXN0045,27-03-2024,68809,-68809,DEBIT,ACC973,Zara,Income,High Value
TXN0046,01-01-2024,82071,-82071,DEBIT,ACC936,Nike,Travel,High Value
TXN0047,04-02-2024,7113,7113,CREDIT,ACC867,Amazon,Shopping,Normal
TXN0048,22-03-2024,36953,-36953,DEBIT,ACC469,Nike,Food,Normal
TXN0049,12-02-2024,41769,41769,CREDIT,ACC419,Salary,Income,Normal
TXN0050,12-01-2024,17004,-17004,DEBIT,ACC579,Amazon,Food,Normal
TXN0051,27-01-2024,51308,51308,CREDIT,ACC265,Apple,Food,High Value
TXN0052,11-01-2024,92542,-92542,DEBIT,ACC138,Flipkart,Shopping,High Value
TXN0053,29-02-2024,24510,24510,CREDIT,ACC712,Flipkart,Shopping,Normal
TXN0054,18-02-2024,56385,-56385,DEBIT,ACC533,Swiggy,Shopping,High Value
TXN0055,15-02-2024,77113,-77113,DEBIT,ACC526,Apple,Shopping,High Value
TXN0056,29-01-2024,70008,70008,CREDIT,ACC474,Flipkart,Food,High Value
TXN0057,22-01-2024,19011,-19011,DEBIT,ACC627,Zara,Electronics,Normal
TXN0058,10-02-2024,50423,50423,CREDIT,ACC169,Zara,Food,High Value
TXN0059,16-03-2024,54977,-54977,DEBIT,ACC129,Bonus,Travel,High Value
TXN0060,29-02-2024,68829,-68829,DEBIT,ACC324,Zara,Income,High Value
TXN0061,22-02-2024,91498,91498,CREDIT,ACC164,Flipkart,Shopping,High Value
TXN0062,21-03-2024,49248,49248,CREDIT,ACC952,Walmart,Shopping,Normal
TXN0063,01-02-2024,10665,10665,CREDIT,ACC491,Flipkart,Travel,Normal
TXN0064,09-01-2024,31129,31129,CREDIT,ACC317,Swiggy,Electronics,Normal
TXN0065,04-01-2024,42811,42811,CREDIT,ACC549,Bonus,Electronics,Normal
TXN0066,31-03-2024,6053,-6053,DEBIT,ACC902,Walmart,Shopping,Normal
TXN0067,07-03-2024,38029,-38029,DEBIT,ACC562,Amazon,Shopping,Normal
TXN0068,10-01-2024,36455,-36455,DEBIT,ACC758,Flipkart,Income,Normal
TXN0069,18-01-2024,67936,67936,CREDIT,ACC902,Bonus,Shopping,High Value
TXN0070,21-03-2024,87219,-87219,DEBIT,ACC308,Amazon,Travel,High Value
TXN0071,11-01-2024,39559,-39559,DEBIT,ACC144,Salary,Shopping,Normal
TXN0072,07-02-2024,96235,96235,CREDIT,ACC303,Nike,Electronics,High Value
TXN0073,10-03-2024,88235,-88235,DEBIT,ACC525,Apple,Travel,High Value
TXN0074,19-03-2024,97623,97623,CREDIT,ACC620,Walmart,Travel,High Value
TXN0075,23-02-2024,8190,-8190,DEBIT,ACC728,Salary,Electronics,Normal
TXN0076,21-03-2024,27144,-27144,DEBIT,ACC394,Uber,Food,Normal
TXN0077,15-02-2024,36772,-36772,DEBIT,ACC295,Nike,Electronics,Normal
TXN0078,21-01-2024,49615,49615,CREDIT,ACC538,Uber,Shopping,Normal
TXN0079,09-02-2024,98801,98801,CREDIT,ACC896,Amazon,Income,High Value
TXN0080,05-01-2024,1779,-1779,DEBIT,ACC904,Zara,Shopping,Normal
TXN0081,02-03-2024,67724,67724,CREDIT,ACC510,Nike,Shopping,High Value
TXN0082,11-01-2024,92876,-92876,DEBIT,ACC531,Salary,Income,High Value
TXN0083,11-02-2024,34504,-34504,DEBIT,ACC310,Bonus,Food,Normal
TXN0084,09-03-2024,21633,21633,CREDIT,ACC140,Walmart,Income,Normal
TXN0085,08-03-2024,59779,59779,CREDIT,ACC706,Amazon,Shopping,High Value
TXN0086,06-01-2024,45126,45126,CREDIT,ACC788,Flipkart,Income,Normal
TXN0087,04-02-2024,72887,72887,CREDIT,ACC245,Apple,Food,High Value
TXN0088,23-03-2024,77086,77086,CREDIT,ACC805,Amazon,Food,High Value
TXN0089,04-03-2024,72615,-72615,DEBIT,ACC825,Bonus,Income,High Value
TXN0090,17-03-2024,91891,-91891,DEBIT,ACC268,Zara,Shopping,High Value
TXN0091,24-03-2024,19478,19478,CREDIT,ACC267,Zara,Travel,Normal
TXN0092,19-02-2024,70984,70984,CREDIT,ACC877,Walmart,Shopping,High Value
TXN0093,12-01-2024,10724,10724,CREDIT,ACC284,Walmart,Electronics,Normal
TXN0094,15-03-2024,65680,-65680,DEBIT,ACC196,Swiggy,Food,High Value
TXN0095,26-02-2024,85408,85408,CREDIT,ACC998,Uber,Travel,High Value
TXN0096,17-03-2024,13362,13362,CREDIT,ACC611,Zara,Food,Normal
TXN0097,01-02-2024,13231,13231,CREDIT,ACC973,Flipkart,Shopping,Normal
TXN0098,12-01-2024,47922,-47922,DEBIT,ACC954,Walmart,Electronics,Normal
TXN0099,07-02-2024,46132,-46132,DEBIT,ACC420,Flipkart,Electronics,Normal
TXN0100,14-01-2024,36749,36749,CREDIT,ACC403,Swiggy,Travel,Normal
TXN0101,11-02-2024,42130,-42130,DEBIT,ACC306,Amazon,Electronics,Normal
TXN0102,10-03-2024,15814,-15814,DEBIT,ACC126,Nike,Income,Normal
TXN0103,19-01-2024,290,290,CREDIT,ACC177,Apple,Electronics,Normal
TXN0104,15-02-2024,71558,71558,CREDIT,ACC802,Flipkart,Income,High Value
TXN0105,30-01-2024,47922,47922,CREDIT,ACC826,Uber,Income,Normal
TXN0106,01-03-2024,59630,-59630,DEBIT,ACC763,Bonus,Income,High Value
TXN0107,05-03-2024,33890,33890,CREDIT,ACC992,Swiggy,Food,Normal
TXN0108,02-02-2024,53461,53461,CREDIT,ACC792,Salary,Shopping,High Value
TXN0109,27-01-2024,79510,79510,CREDIT,ACC963,Flipkart,Travel,High Value
TXN0110,23-03-2024,49976,-49976,DEBIT,ACC484,Nike,Income,Normal
TXN0111,02-01-2024,21073,21073,CREDIT,ACC891,Nike,Electronics,Normal
TXN0112,13-03-2024,94128,94128,CREDIT,ACC923,Uber,Electronics,High Value
TXN0113,06-01-2024,48323,-48323,DEBIT,ACC144,Salary,Shopping,Normal
TXN0114,16-02-2024,11400,-11400,DEBIT,ACC119,Swiggy,Electronics,Normal
TXN0115,05-02-2024,21262,21262,CREDIT,ACC813,Swiggy,Travel,Normal
TXN0116,23-03-2024,51134,-51134,DEBIT,ACC894,Apple,Income,High Value
TXN0117,05-02-2024,62233,-62233,DEBIT,ACC760,Walmart,Travel,High Value
TXN0118,25-02-2024,60579,-60579,DEBIT,ACC847,Amazon,Income,High Value
TXN0119,22-01-2024,84760,84760,CREDIT,ACC647,Walmart,Shopping,High Value
TXN0120,22-01-2024,83598,83598,CREDIT,ACC443,Walmart,Shopping,High Value
TXN0121,17-01-2024,12499,12499,CREDIT,ACC796,Nike,Travel,Normal
TXN0122,24-01-2024,57985,57985,CREDIT,ACC237,Flipkart,Food,High Value
TXN0123,01-01-2024,74437,74437,CREDIT,ACC959,Swiggy,Shopping,High Value
TXN0124,12-01-2024,24106,24106,CREDIT,ACC333,Zara,Shopping,Normal
TXN0125,24-03-2024,8907,8907,CREDIT,ACC545,Swiggy,Travel,Normal
TXN0126,10-01-2024,10044,10044,CREDIT,ACC933,Nike,Food,Normal
TXN0127,27-01-2024,13948,-13948,DEBIT,ACC871,Amazon,Shopping,Normal
TXN0128,10-03-2024,205,-205,DEBIT,ACC572,Uber,Income,Normal
TXN0129,12-01-2024,55751,55751,CREDIT,ACC454,Apple,Electronics,High Value
TXN0130,31-01-2024,45533,-45533,DEBIT,ACC841,Zara,Electronics,Normal
TXN0131,19-01-2024,4602,-4602,DEBIT,ACC553,Apple,Electronics,Normal
TXN0132,25-03-2024,23951,23951,CREDIT,ACC161,Salary,Food,Normal
TXN0133,20-03-2024,70952,-70952,DEBIT,ACC461,Bonus,Shopping,High Value
TXN0134,13-01-2024,538,538,CREDIT,ACC561,Salary,Income,Normal
TXN0135,09-03-2024,55591,55591,CREDIT,ACC793,Flipkart,Electronics,High Value
TXN0136,08-03-2024,73541,-73541,DEBIT,ACC633,Walmart,Food,High Value
TXN0137,11-02-2024,64979,-64979,DEBIT,ACC566,Bonus,Travel,High Value
TXN0138,18-02-2024,48410,48410,CREDIT,ACC126,Swiggy,Food,Normal
TXN0139,12-03-2024,77143,77143,CREDIT,ACC734,Flipkart,Shopping,High Value
TXN0140,13-03-2024,38326,-38326,DEBIT,ACC888,Swiggy,Travel,Normal
TXN0141,19-02-2024,43299,-43299,DEBIT,ACC364,Bonus,Food,Normal
TXN0142,13-01-2024,89046,89046,CREDIT,ACC912,Walmart,Travel,High Value
TXN0143,08-02-2024,3210,3210,CREDIT,ACC402,Swiggy,Food,Normal
TXN0144,18-02-2024,56378,56378,CREDIT,ACC561,Nike,Income,High Value
TXN0145,18-01-2024,5356,-5356,DEBIT,ACC520,Salary,Travel,Normal
TXN0146,31-03-2024,37226,-37226,DEBIT,ACC348,Nike,Shopping,Normal
TXN0147,03-01-2024,60738,-60738,DEBIT,ACC577,Amazon,Travel,High Value
TXN0148,26-02-2024,9775,9775,CREDIT,ACC107,Salary,Travel,Normal
TXN0149,20-02-2024,78092,78092,CREDIT,ACC144,Walmart,Shopping,High Value
TXN0150,04-03-2024,24891,-24891,DEBIT,ACC333,Apple,Electronics,Normal
TXN0151,28-01-2024,90615,90615,CREDIT,ACC185,Bonus,Travel,High Value
TXN0152,03-03-2024,46894,46894,CREDIT,ACC753,Bonus,Shopping,Normal
TXN0153,18-01-2024,76747,76747,CREDIT,ACC527,Uber,Food,High Value
TXN0154,28-01-2024,10099,-10099,DEBIT,ACC824,Nike,Food,Normal
TXN0155,29-03-2024,47446,-47446,DEBIT,ACC288,Salary,Food,Normal
TXN0156,27-02-2024,80821,-80821,DEBIT,ACC292,Amazon,Shopping,High Value
TXN0157,09-03-2024,98555,98555,CREDIT,ACC905,Salary,Shopping,High Value
TXN0158,16-03-2024,91167,91167,CREDIT,ACC184,Swiggy,Electronics,High Value
TXN0159,17-01-2024,46773,-46773,DEBIT,ACC798,Swiggy,Shopping,Normal
TXN0160,21-03-2024,35143,35143,CREDIT,ACC281,Zara,Electronics,Normal
TXN0161,30-03-2024,83216,-83216,DEBIT,ACC862,Swiggy,Income,High Value
TXN0162,11-02-2024,6699,6699,CREDIT,ACC241,Amazon,Travel,Normal
TXN0163,19-02-2024,88379,-88379,DEBIT,ACC502,Amazon,Shopping,High Value
TXN0164,08-03-2024,27331,27331,CREDIT,ACC211,Swiggy,Shopping,Normal
TXN0165,21-03-2024,18445,-18445,DEBIT,ACC803,Salary,Travel,Normal
TXN0166,06-02-2024,10485,10485,CREDIT,ACC394,Amazon,Travel,Normal
TXN0167,12-01-2024,84405,-84405,DEBIT,ACC698,Salary,Electronics,High Value
TXN0168,30-01-2024,36201,36201,CREDIT,ACC882,Uber,Food,Normal
TXN0169,29-01-2024,24147,-24147,DEBIT,ACC111,Amazon,Income,Normal
TXN0170,01-02-2024,39525,-39525,DEBIT,ACC874,Flipkart,Income,Normal
TXN0171,01-02-2024,48951,-48951,DEBIT,ACC648,Flipkart,Food,Normal
TXN0172,09-01-2024,97484,-97484,DEBIT,ACC381,Amazon,Shopping,High Value
TXN0173,08-02-2024,22682,22682,CREDIT,ACC996,Uber,Income,Normal
TXN0174,04-02-2024,17307,17307,CREDIT,ACC707,Salary,Food,Normal
TXN0175,12-01-2024,81636,-81636,DEBIT,ACC402,Swiggy,Electronics,High Value
TXN0176,30-01-2024,78157,78157,CREDIT,ACC500,Amazon,Shopping,High Value
TXN0177,11-02-2024,64878,-64878,DEBIT,ACC288,Uber,Shopping,High Value
TXN0178,24-01-2024,68210,68210,CREDIT,ACC289,Bonus,Food,High Value
TXN0179,13-03-2024,65371,-65371,DEBIT,ACC516,Salary,Food,High Value
TXN0180,11-03-2024,21896,-21896,DEBIT,ACC965,Nike,Electronics,Normal
TXN0181,25-02-2024,58431,-58431,DEBIT,ACC770,Salary,Income,High Value
TXN0182,20-01-2024,75278,75278,CREDIT,ACC760,Apple,Income,High Value
TXN0183,27-02-2024,95538,95538,CREDIT,ACC633,Uber,Travel,High Value
TXN0184,08-02-2024,69437,69437,CREDIT,ACC835,Apple,Travel,High Value
TXN0185,21-01-2024,18792,18792,CREDIT,ACC243,Uber,Electronics,Normal
TXN0186,29-01-2024,80241,80241,CREDIT,ACC328,Bonus,Income,High Value
TXN0187,01-01-2024,17689,-17689,DEBIT,ACC269,Apple,Travel,Normal
TXN0188,09-02-2024,40135,-40135,DEBIT,ACC268,Zara,Food,Normal
TXN0189,29-03-2024,8741,8741,CREDIT,ACC904,Salary,Shopping,Normal
TXN0190,02-02-2024,7804,7804,CREDIT,ACC927,Uber,Income,Normal
TXN0191,07-03-2024,41027,-41027,DEBIT,ACC801,Nike,Travel,Normal
TXN0192,13-03-2024,68947,68947,CREDIT,ACC672,Amazon,Travel,High Value
TXN0193,01-03-2024,3676,3676,CREDIT,ACC502,Nike,Income,Normal
TXN0194,20-01-2024,4427,4427,CREDIT,ACC578,Salary,Electronics,Normal
TXN0195,13-02-2024,59879,-59879,DEBIT,ACC613,Bonus,Electronics,High Value
TXN0196,05-01-2024,74339,74339,CREDIT,ACC637,Walmart,Shopping,High Value
TXN0197,28-03-2024,70463,-70463,DEBIT,ACC344,Zara,Food,High Value
TXN0198,16-02-2024,58078,58078,CREDIT,ACC268,Flipkart,Electronics,High Value
TXN0199,20-01-2024,81485,-81485,DEBIT,ACC889,Uber,Electronics,High Value
TXN0200,25-01-2024,19907,-19907,DEBIT,ACC731,Apple,Income,Normal
TXN0201,18-03-2024,79044,79044,CREDIT,ACC470,Salary,Food,High Value
TXN0202,11-02-2024,24220,24220,CREDIT,ACC462,Nike,Income,Normal
TXN0203,13-02-2024,58473,58473,CREDIT,ACC994,Zara,Travel,High Value
TXN0204,26-02-2024,43889,-43889,DEBIT,ACC168,Salary,Shopping,Normal
TXN0205,10-03-2024,70925,-70925,DEBIT,ACC525,Swiggy,Electronics,High Value
TXN0206,16-03-2024,95868,95868,CREDIT,ACC598,Apple,Travel,High Value
TXN0207,20-01-2024,58785,-58785,DEBIT,ACC133,Flipkart,Food,High Value
TXN0208,18-01-2024,31368,-31368,DEBIT,ACC898,Swiggy,Food,Normal
TXN0209,16-01-2024,36923,36923,CREDIT,ACC257,Walmart,Electronics,Normal
TXN0210,04-03-2024,56212,56212,CREDIT,ACC168,Zara,Shopping,High Value
TXN0211,02-02-2024,15385,-15385,DEBIT,ACC530,Flipkart,Food,Normal
TXN0212,20-03-2024,37522,-37522,DEBIT,ACC838,Uber,Food,Normal
TXN0213,22-02-2024,23099,-23099,DEBIT,ACC532,Salary,Income,Normal
TXN0214,22-01-2024,66699,-66699,DEBIT,ACC492,Uber,Travel,High Value
TXN0215,05-03-2024,14688,-14688,DEBIT,ACC734,Zara,Travel,Normal
TXN0216,18-01-2024,30326,30326,CREDIT,ACC556,Flipkart,Travel,Normal
TXN0217,16-02-2024,24199,-24199,DEBIT,ACC183,Swiggy,Income,Normal
TXN0218,30-03-2024,62805,62805,CREDIT,ACC541,Swiggy,Travel,High Value
TXN0219,08-02-2024,39860,-39860,DEBIT,ACC990,Zara,Electronics,Normal
TXN0220,29-03-2024,31317,31317,CREDIT,ACC927,Salary,Electronics,Normal
TXN0221,30-01-2024,20131,-20131,DEBIT,ACC292,Walmart,Electronics,Normal
TXN0222,28-03-2024,76032,76032,CREDIT,ACC550,Apple,Income,High Value
TXN0223,29-03-2024,13300,-13300,DEBIT,ACC835,Salary,Travel,Normal
TXN0224,17-01-2024,94983,-94983,DEBIT,ACC657,Swiggy,Shopping,High Value
TXN0225,17-02-2024,924,924,CREDIT,ACC147,Salary,Income,Normal
TXN0226,23-02-2024,66467,-66467,DEBIT,ACC301,Swiggy,Travel,High Value
TXN0227,04-03-2024,59502,-59502,DEBIT,ACC890,Flipkart,Income,High Value
TXN0228,26-03-2024,81388,-81388,DEBIT,ACC458,Walmart,Shopping,High Value
TXN0229,03-03-2024,3119,3119,CREDIT,ACC732,Bonus,Travel,Normal
TXN0230,08-02-2024,10425,10425,CREDIT,ACC702,Walmart,Income,Normal
TXN0231,16-01-2024,14083,14083,CREDIT,ACC285,Nike,Food,Normal
TXN0232,23-01-2024,40020,40020,CREDIT,ACC494,Salary,Income,Normal
TXN0233,25-02-2024,39381,-39381,DEBIT,ACC100,Flipkart,Electronics,Normal
TXN0234,28-02-2024,43900,-43900,DEBIT,ACC925,Walmart,Income,Normal
TXN0235,12-01-2024,36526,36526,CREDIT,ACC743,Salary,Food,Normal
TXN0236,27-01-2024,22490,-22490,DEBIT,ACC829,Swiggy,Travel,Normal
TXN0237,24-01-2024,8986,8986,CREDIT,ACC151,Walmart,Electronics,Normal
TXN0238,22-01-2024,94232,-94232,DEBIT,ACC322,Walmart,Electronics,High Value
TXN0239,04-01-2024,51531,51531,CREDIT,ACC189,Apple,Income,High Value
TXN0240,25-03-2024,72352,72352,CREDIT,ACC801,Bonus,Food,High Value
TXN0241,03-01-2024,32933,32933,CREDIT,ACC618,Salary,Travel,Normal
TXN0242,06-01-2024,95130,95130,CREDIT,ACC751,Zara,Electronics,High Value
TXN0243,14-02-2024,87384,-87384,DEBIT,ACC542,Walmart,Travel,High Value
TXN0244,01-01-2024,77188,-77188,DEBIT,ACC455,Bonus,Travel,High Value
TXN0245,18-03-2024,67263,-67263,DEBIT,ACC992,Bonus,Electronics,High Value
TXN0246,18-03-2024,32466,-32466,DEBIT,ACC207,Swiggy,Travel,Normal
TXN0247,23-01-2024,61151,61151,CREDIT,ACC933,Salary,Electronics,High Value
TXN0248,13-01-2024,56401,-56401,DEBIT,ACC694,Zara,Travel,High Value
TXN0249,11-02-2024,23623,23623,CREDIT,ACC771,Walmart,Income,Normal
TXN0250,17-01-2024,17772,17772,CREDIT,ACC136,Salary,Income,Normal
TXN0251,14-02-2024,97215,97215,CREDIT,ACC382,Amazon,Shopping,High Value
TXN0252,02-03-2024,61226,61226,CREDIT,ACC742,Swiggy,Income,High Value
TXN0253,07-03-2024,38553,38553,CREDIT,ACC813,Amazon,Shopping,Normal
TXN0254,12-01-2024,44162,44162,CREDIT,ACC993,Bonus,Electronics,Normal
TXN0255,11-03-2024,92355,92355,CREDIT,ACC650,Flipkart,Shopping,High Value
TXN0256,30-03-2024,42885,42885,CREDIT,ACC564,Flipkart,Income,Normal
TXN0257,30-01-2024,93459,93459,CREDIT,ACC663,Salary,Travel,High Value
TXN0258,14-03-2024,47567,47567,CREDIT,ACC943,Walmart,Travel,Normal
TXN0259,08-03-2024,94140,-94140,DEBIT,ACC945,Nike,Food,High Value
TXN0260,04-02-2024,36387,36387,CREDIT,ACC260,Zara,Shopping,Normal
TXN0261,05-01-2024,34085,-34085,DEBIT,ACC476,Zara,Electronics,Normal
TXN0262,06-02-2024,85322,-85322,DEBIT,ACC665,Nike,Shopping,High Value
TXN0263,18-02-2024,95577,-95577,DEBIT,ACC863,Flipkart,Income,High Value
TXN0264,25-03-2024,92101,-92101,DEBIT,ACC787,Flipkart,Travel,High Value
TXN0265,14-03-2024,21209,21209,CREDIT,ACC883,Nike,Shopping,Normal
TXN0266,17-02-2024,66431,66431,CREDIT,ACC591,Walmart,Shopping,High Value
TXN0267,13-02-2024,25721,25721,CREDIT,ACC576,Flipkart,Income,Normal
TXN0268,01-02-2024,66608,66608,CREDIT,ACC636,Swiggy,Electronics,High Value
TXN0269,04-02-2024,39050,39050,CREDIT,ACC549,Zara,Electronics,Normal
TXN0270,19-03-2024,77997,77997,CREDIT,ACC848,Walmart,Travel,High Value
TXN0271,16-01-2024,61160,-61160,DEBIT,ACC634,Apple,Travel,High Value
TXN0272,24-02-2024,18359,18359,CREDIT,ACC972,Zara,Travel,Normal
TXN0273,12-01-2024,44811,-44811,DEBIT,ACC507,Apple,Shopping,Normal
TXN0274,14-01-2024,11182,-11182,DEBIT,ACC835,Uber,Travel,Normal
TXN0275,08-02-2024,33601,33601,CREDIT,ACC981,Swiggy,Electronics,Normal
TXN0276,08-02-2024,81699,-81699,DEBIT,ACC219,Walmart,Travel,High Value
TXN0277,02-03-2024,57064,57064,CREDIT,ACC487,Apple,Food,High Value
TXN0278,14-01-2024,96496,-96496,DEBIT,ACC692,Salary,Income,High Value
TXN0279,14-03-2024,96370,-96370,DEBIT,ACC290,Swiggy,Food,High Value
TXN0280,20-02-2024,49037,49037,CREDIT,ACC248,Flipkart,Electronics,Normal
TXN0281,15-02-2024,86872,86872,CREDIT,ACC801,Uber,Shopping,High Value
TXN0282,30-03-2024,60879,-60879,DEBIT,ACC133,Swiggy,Food,High Value
TXN0283,02-02-2024,82598,-82598,DEBIT,ACC759,Salary,Food,High Value
TXN0284,15-03-2024,25644,-25644,DEBIT,ACC168,Flipkart,Income,Normal
TXN0285,04-03-2024,53658,-53658,DEBIT,ACC895,Salary,Travel,High Value
TXN0286,28-01-2024,47460,-47460,DEBIT,ACC629,Nike,Electronics,Normal
TXN0287,18-03-2024,21288,21288,CREDIT,ACC591,Salary,Food,Normal
TXN0288,22-03-2024,53782,-53782,DEBIT,ACC984,Flipkart,Shopping,High Value
TXN0289,21-03-2024,74497,74497,CREDIT,ACC266,Nike,Electronics,High Value
TXN0290,03-02-2024,69179,69179,CREDIT,ACC379,Walmart,Income,High Value
TXN0291,28-02-2024,92665,-92665,DEBIT,ACC697,Apple,Income,High Value
TXN0292,23-01-2024,62554,-62554,DEBIT,ACC794,Zara,Shopping,High Value
TXN0293,04-01-2024,51751,-51751,DEBIT,ACC475,Zara,Food,High Value
TXN0294,01-03-2024,62790,-62790,DEBIT,ACC628,Uber,Shopping,High Value
TXN0295,25-01-2024,90046,-90046,DEBIT,ACC924,Walmart,Travel,High Value
TXN0296,19-03-2024,66551,66551,CREDIT,ACC747,Amazon,Food,High Value
TXN0297,04-02-2024,4173,4173,CREDIT,ACC306,Amazon,Electronics,Normal
TXN0298,16-02-2024,65644,-65644,DEBIT,ACC194,Walmart,Food,High Value
TXN0299,19-02-2024,86838,86838,CREDIT,ACC709,Zara,Food,High Value
TXN0300,01-03-2024,10540,-10540,DEBIT,ACC209,Flipkart,Food,Normal
TXN0301,01-01-2024,98374,-98374,DEBIT,ACC343,Bonus,Income,High Value
TXN0302,14-02-2024,43805,43805,CREDIT,ACC732,Apple,Income,Normal
TXN0303,04-02-2024,74296,74296,CREDIT,ACC425,Bonus,Electronics,High Value
TXN0304,26-01-2024,37831,37831,CREDIT,ACC630,Flipkart,Shopping,Normal
TXN0305,18-01-2024,89212,89212,CREDIT,ACC171,Flipkart,Electronics,High Value
TXN0306,14-01-2024,91551,-91551,DEBIT,ACC978,Flipkart,Income,High Value
TXN0307,06-03-2024,64032,-64032,DEBIT,ACC292,Zara,Income,High Value
TXN0308,29-01-2024,39237,39237,CREDIT,ACC257,Flipkart,Travel,Normal
TXN0309,10-01-2024,76758,-76758,DEBIT,ACC777,Zara,Shopping,High Value
TXN0310,01-02-2024,49574,49574,CREDIT,ACC896,Bonus,Income,Normal
TXN0311,12-03-2024,64548,64548,CREDIT,ACC293,Flipkart,Shopping,High Value
TXN0312,02-02-2024,95577,95577,CREDIT,ACC542,Amazon,Electronics,High Value
TXN0313,11-03-2024,62418,62418,CREDIT,ACC261,Flipkart,Food,High Value
TXN0314,19-02-2024,27467,-27467,DEBIT,ACC773,Zara,Food,Normal
TXN0315,25-02-2024,88107,88107,CREDIT,ACC253,Nike,Shopping,High Value
TXN0316,14-03-2024,64993,-64993,DEBIT,ACC225,Amazon,Shopping,High Value
TXN0317,18-01-2024,40255,-40255,DEBIT,ACC356,Nike,Electronics,Normal
TXN0318,15-03-2024,49084,-49084,DEBIT,ACC399,Swiggy,Electronics,Normal
TXN0319,03-02-2024,83597,83597,CREDIT,ACC116,Uber,Electronics,High Value
TXN0320,24-01-2024,25112,-25112,DEBIT,ACC982,Walmart,Electronics,Normal
TXN0321,01-03-2024,36301,36301,CREDIT,ACC800,Bonus,Shopping,Normal
TXN0322,07-03-2024,38001,38001,CREDIT,ACC771,Zara,Income,Normal
